"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"ENSG00000163527",8656.85893582357,0.0965767940678238,0.0850670779689842,0.0636146549329692,0.514799189985268,"STT3B"
"ENSG00000183955",2653.53426917945,0.0965049317272038,0.154640342901641,0.607447041866461,0.939199055210294,"KMT5A"
"ENSG00000187257",4809.06351681815,0.0964083910735138,0.0891300729754182,0.712802513435653,0.963871932607535,"RSBN1L"
"ENSG00000259583",22.9287064900186,0.0963673163036523,0.373577886448995,0.396924982430185,NA,"ALDH1A3-AS1"
"ENSG00000185811",18.9085314690376,0.0963446137801079,0.391539049734339,0.206915588312992,NA,"IKZF1"
"ENSG00000139880",2750.85020747328,0.0963418710709673,0.159963690905061,0.111753850043617,0.629095778959425,"CDH24"
"ENSG00000272894",209.180503409669,0.0962677811924947,0.261487682092532,0.866012054736368,0.984243545363471,NA
"ENSG00000227124",1212.68554345513,0.0962572632556198,0.254661266683189,0.494604401887777,0.915693156574403,"ZNF717"
"ENSG00000115194",115.781603406869,0.096136020629734,0.272008702769458,0.873636466120359,0.985733594557067,"SLC30A3"
"ENSG00000259404",42.0869887295617,0.0961173633993299,0.349793427744524,0.369592277697015,NA,NA
"ENSG00000205189",10043.7560225922,0.0960457174251907,0.150252760409865,0.069841558330701,0.536763525762242,"ZBTB10"
"ENSG00000112218",1258.75377968712,0.0960456565208459,0.220543500710867,0.835059846246741,0.98233397011443,"GPR63"
"ENSG00000173171",601.510744682507,0.0960119219823036,0.218431080723526,0.561627649134558,0.930377375411902,"MTX1"
"ENSG00000163605",9275.49854357517,0.0959627281321493,0.18613874879154,0.50736519062808,0.916960347776566,"PPP4R2"
"ENSG00000206149",569.089792444097,0.0959575160406443,0.202473439496012,0.995425030506313,0.999296033683515,NA
"ENSG00000166135",5763.32313410053,0.0959319476447427,0.117754470545166,0.270983477624988,0.822140895721988,"HIF1AN"
"ENSG00000126226",1773.85747031842,0.0959203691164649,0.130577292291631,0.192802320126557,0.74720027946774,"PCID2"
"ENSG00000228857",19.792614979597,0.0958659705684702,0.344269722617376,0.460596980261877,NA,NA
"ENSG00000259399",18.1769283118604,0.0958542667745805,0.398506576538531,0.103747627276631,NA,"TGIF2-RAB5IF"
"ENSG00000231466",32.8579144753319,0.0958256036877244,0.253785976176674,0.173314630909827,NA,NA
"ENSG00000249492",15.4023518760995,0.0957480181829856,0.383117790559981,0.0242308031551765,NA,NA
"ENSG00000137252",482.422952607682,0.0957334105258474,0.218342368426601,0.592209978351002,0.938355145664232,"HCRTR2"
"ENSG00000290376",836.339035934596,0.0957291479831231,0.130136868961244,0.238870928346034,0.794826808391268,"HERC2P3"
"ENSG00000274425",422.15033133457,0.0957212712390085,0.200132047675244,0.125078802198758,0.656683769080712,NA
"ENSG00000249685",9.49061757899877,0.095681930128221,0.367684757431745,0.224992511620478,NA,NA
"ENSG00000137522",1510.83064848482,0.0956572485713954,0.12430932066503,0.000180606812446777,0.0257089871282934,"RNF121"
"ENSG00000287705",106.443576184967,0.0956286834461938,0.309311665759764,0.424140805975755,0.892065025633301,NA
"ENSG00000285854",151.732073931941,0.0955347063551773,0.272019268327165,0.679103315020234,0.955914303173825,NA
"ENSG00000109685",26419.319039012,0.0955154273074384,0.0848067877866359,0.206463190454637,0.765752770460552,"NSD2"
"ENSG00000179921",16.206694436406,0.0954955286467517,0.370401147291314,0.816811902829971,NA,"GPBAR1"
"ENSG00000236858",9.6211707143936,0.095488955749599,0.388269728064789,0.995957874039485,NA,NA
"ENSG00000090534",19.7410292708838,0.095299663030329,0.345000205138317,0.835767809444654,NA,"THPO"
"ENSG00000275236",9.89559795959988,0.0952283620317192,0.364509886488054,0.143700939607001,NA,NA
"ENSG00000275910",20.5948272077321,0.0952217751637722,0.357654616183222,0.448529742445409,NA,NA
"ENSG00000273398",65.4372657281125,0.0952092476136608,0.330952534240688,0.835693839156834,0.98233397011443,NA
"ENSG00000254165",29.98204093916,0.0951994632579237,0.344646646153119,0.0987630656252553,NA,NA
"ENSG00000101335",864.844138099979,0.0951217886300816,0.354426167839422,0.448080493540183,0.902301349970393,"MYL9"
"ENSG00000168255",1261.45880703177,0.0951160418119283,0.26729412686084,0.909157266625517,0.988302719193762,"POLR2J3-UPK3BL2"
"ENSG00000237149",209.215400245163,0.0950410411913713,0.188963349334908,0.381293235138662,0.880486706054435,"ZNF503-AS2"
"ENSG00000128567",2569.57893410429,0.0950186275336109,0.147126539216963,0.846914453337292,0.982634460353779,"PODXL"
"ENSG00000293482",76.9169525828961,0.0950017207488536,0.239729009781781,0.809888962713362,0.978355194524463,NA
"ENSG00000268350",1368.82917353624,0.0949726917733513,0.166066116305006,0.239920812840082,0.795872902120808,"FAM156A"
"ENSG00000273156",424.459510442885,0.0949575127864266,0.246687654530883,0.227003658710679,0.783368580272172,NA
"ENSG00000236204",21.4934124860386,0.0949381067666969,0.359711657207859,0.297035057407284,NA,"LINC01376"
"ENSG00000171606",2236.31407102806,0.094925381885208,0.140713540518742,0.281364928079794,0.82810929030317,"ZNF274"
"ENSG00000277791",2187.42393530921,0.0949231924078367,0.109794262806371,0.194394319124836,0.750150895204006,"PSMB3"
"ENSG00000146731",9897.91994506271,0.0949130956766391,0.131040952600639,0.794176644267019,0.975999229638947,"CCT6A"
"ENSG00000198917",1278.17278653712,0.0947736940368857,0.138237714470906,0.0370257271762942,0.418958855198465,"SPOUT1"
"ENSG00000163832",1154.73970084187,0.0947674089393953,0.107551742454166,0.00554246555750343,0.164384529718307,"ELP6"
"ENSG00000116793",1879.13280973234,0.0945085371347116,0.0964199899958672,0.463535806770733,0.907241986893147,"PHTF1"
"ENSG00000103248",859.293587704855,0.0944739948418785,0.180694361067925,0.614545116599446,0.941025164556772,"MTHFSD"
"ENSG00000125430",2664.77564000461,0.0944026561539716,0.101631335362645,8.42763752761893e-06,0.00336488844700297,"HS3ST3B1"
"ENSG00000132467",1335.93345776576,0.0943789293672437,0.121907457108761,0.229042407542038,0.784398370598987,"UTP3"
"ENSG00000247675",25.1383856202716,0.094370064051163,0.373136998252115,0.680094867038255,NA,"LRP4-AS1"
"ENSG00000124839",26.346154188232,0.0943346241715928,0.350430768999631,0.259837910290023,NA,"RAB17"
"ENSG00000163807",6019.6528079716,0.0943153820905528,0.131302119996173,0.564723474531049,0.930377375411902,"KIAA1143"
