"","gene_id","log2_RE_FC","Z_score"
"41388","ENSG00000254011",NA,NA
"41389","ENSG00000254012",NA,NA
"41390","ENSG00000254013",NA,NA
"41391","ENSG00000254014",NA,NA
"41392","ENSG00000254015",NA,NA
"41393","ENSG00000254016",NA,NA
"41394","ENSG00000254017",-3.43968313603902,-0.517672840889741
"41395","ENSG00000254019",NA,NA
"41396","ENSG00000254020",NA,NA
"41397","ENSG00000254021",Inf,NA
"41398","ENSG00000254023",NA,NA
"41399","ENSG00000254024",NA,NA
"41400","ENSG00000254025",NA,NA
"41401","ENSG00000254026",NA,NA
"41402","ENSG00000254027",0.637825244507435,0.785792725862306
"41403","ENSG00000254028",1.33080537026229,-0.0938681380702641
"41404","ENSG00000254029",NA,NA
"41405","ENSG00000254030",NA,NA
"41406","ENSG00000254031",Inf,NA
"41407","ENSG00000254033",NA,NA
"41408","ENSG00000254034",NA,NA
"41409","ENSG00000254035",-0.780021743170703,-0.806318992716705
"41410","ENSG00000254036",NA,NA
"41411","ENSG00000254037",NA,NA
"41412","ENSG00000254038",NA,NA
"41413","ENSG00000254039",NA,NA
"41414","ENSG00000254040",NA,NA
"41415","ENSG00000254041",NA,NA
"41416","ENSG00000254042",-2.58033296627201,-1.39900793959269
"41417","ENSG00000254043",NA,NA
"41418","ENSG00000254044",-Inf,NA
"41419","ENSG00000254045",NA,NA
"41420","ENSG00000254046",NA,NA
"41421","ENSG00000254047",NA,NA
"41422","ENSG00000254048",NA,NA
"41423","ENSG00000254049",NA,NA
"41424","ENSG00000254050",NA,NA
"41425","ENSG00000254051",NA,NA
"41426","ENSG00000254052",NA,NA
"41427","ENSG00000254053",NA,NA
"41428","ENSG00000254054",NA,NA
"41429","ENSG00000254055",NA,NA
"41430","ENSG00000254056",NA,NA
"41431","ENSG00000254057",NA,NA
"41432","ENSG00000254060",Inf,NA
"41433","ENSG00000254061",-Inf,-0.577350269189626
"41434","ENSG00000254063",NA,NA
"41435","ENSG00000254064",NA,NA
"41436","ENSG00000254065",NA,NA
"41437","ENSG00000254066",NA,NA
"41438","ENSG00000254067",NA,NA
"41439","ENSG00000254069",NA,NA
"41440","ENSG00000254070",NA,NA
"41441","ENSG00000254073",NA,NA
"41442","ENSG00000254075",NA,NA
"41443","ENSG00000254076",NA,NA
"41444","ENSG00000254077",NA,NA
"41445","ENSG00000254079",NA,NA
"41446","ENSG00000254080",NA,NA
"41447","ENSG00000254081",NA,NA
"41448","ENSG00000254083",NA,NA
"41449","ENSG00000254084",NA,NA
"41450","ENSG00000254086",NA,NA
"41451","ENSG00000254087",-0.385246391861499,-0.924344574407613
"41452","ENSG00000254088",Inf,0.235350554366096
"41453","ENSG00000254089",NA,NA
"41454","ENSG00000254090",NA,NA
"41455","ENSG00000254091",NA,NA
"41456","ENSG00000254092",-0.612586307976232,-0.46388208799701
"41457","ENSG00000254093",0.0300086337032427,-3.83262202889929
"41458","ENSG00000254094",-Inf,-0.577350269189626
"41459","ENSG00000254095",NA,NA
"41460","ENSG00000254097",NA,NA
"41461","ENSG00000254098",NA,NA
"41462","ENSG00000254099",NA,NA
"41463","ENSG00000254101",-1.00080521452894,0.120850449907872
"41464","ENSG00000254102",NA,NA
"41465","ENSG00000254103",NA,NA
"41466","ENSG00000254104",NA,NA
"41467","ENSG00000254105",NA,NA
"41468","ENSG00000254106",NA,NA
"41469","ENSG00000254109",Inf,NA
"41470","ENSG00000254111",NA,NA
