,4_7_IP_S4_L004_R.sf,4_9_IP_S5_L004_R.sf,87_IP_S1_L004_R.sf,90_IP_S2_L004_R.sf,91_IP_S3_L004_R.sf,95_3_IP_S6_L004_R.sf
5_8S_rRNA,NA,NA,NA,NA,NA,NA
5S_rRNA,NA,NA,NA,NA,NA,NA
7SK,NA,NA,NA,NA,NA,NA
BBS5,0.755862137606182,0.774850720892571,0.666698535040795,0.632324197347964,0.766374706164547,0.751041965134731
BBS7,1.05272088588672,0.850512540525714,0.826819258298534,0.97541046433863,1.01461458104593,0.892952889184423
BBS7-DT,0.0294546206069323,0.0294546206069323,0.0294546206069323,0.0294546206069323,0.0294546206069323,0.0294546206069323
BBS9,0.855532086989718,0.910706695113441,0.80726100910352,0.784629499664192,0.869874550831665,0.745144555079986
BBX,0.603646336779084,0.528902606414771,0.847321498361378,0.59660522970972,0.59502422935386,0.614492527089922
BCAM,0.957336850132143,0.92464609009706,0.867569039696111,0.893195458122886,0.682179130126187,1.02339025074309
BCAN,0.877220294043862,1.26532935717149,0.814641390068861,0.977320606596933,2.11429978764427,0.820191759248775
BCAN-AS1,0.67612327464454,NA,0.422530358000831,NA,NA,NA
BCAN-AS2,0.935475816543352,NA,0.439396250965294,0.478244206780609,NA,NA
BCAP29,1.26139555708063,1.15190913676065,1.01470697491835,0.955752216285581,0.982218509935828,0.885424202282587
BCAP31,1.57523234378777,1.81390038099817,1.23708904507953,1.61958381451909,1.34816090057582,1.71485923107736
BCAP31P1,NA,NA,NA,NA,NA,NA
BCAP31P2,NA,NA,NA,NA,NA,NA
BCAR1,1.01422959669045,0.721481853451389,1.03718694253252,1.09124951338459,0.809553332823754,0.627184265646591
BCAR1P1,NA,Inf,NA,NA,NA,NA
BCAR1P2,NA,Inf,NA,NA,NA,NA
BCAR3,1.22413482132419,1.21808745342185,1.02068555875949,1.27649873026678,0.732817575432684,1.25786919159922
BCAR3-AS1,NA,NA,NA,NA,1.90414738457535,NA
BCAR4,2.85899360818275,NA,NA,0.429619303326284,2.17955950282334,0.691200219593305
BCAS1,Inf,0.522203273807872,2.47357937369232,0.557704827424384,Inf,Inf
BCAS2,2.3308931880521,2.3816241650148,2.53387841686636,2.59527927267357,2.6652180387229,2.29068986497757
BCAS2P1,NA,NA,NA,NA,NA,NA
BCAS2P2,NA,NA,NA,NA,NA,NA
BCAS2P3,NA,NA,NA,NA,NA,NA
BCAS3,0.61771651079534,0.85213177162197,0.666492916517345,0.524566500723767,0.913090687205671,0.845492295755012
BCAS3-AS1,NA,NA,NA,NA,NA,NA
BCAS4,2.58144371260672,2.52326983405858,2.03642437854408,1.84554050278906,2.11765134367703,2.16105278940527
BCAT1,0.684643678854738,0.69610979869006,0.840839012007503,0.649277606426164,0.699198236102063,0.654394232478808
BCAT2,2.15879401792767,2.11654888515904,1.48113305054716,2.03013779586729,2.09089028686309,1.76902013398973
BCCIP,1.96205129043355,1.87136852063181,1.96683351304845,1.940046235739,1.72565061288908,1.88419369765098
BCDIN3D,1.24577163634756,1.27047555469645,1.11688965807009,1.48095512163309,1.7065745648331,1.26780047964025
BCDIN3D-AS1,1.23748134062763,1.01436787035187,1.27631791100753,1.23826232575384,1.11179171364045,1.11189298849986
BCHE,1.7814807966505,1.40975458085663,1.3166839650084,1.67313213157561,1.20255807544321,1.50063326593043
BCKDHA,1.11803455495585,0.940750635836189,1.10940628712669,0.918296660364688,0.914588198437607,1.05358874423891
BCKDHB,0.733686760732701,0.923638150441108,0.733585477447922,0.772788795783786,0.428219630835462,0.757068739340897
BCKDK,0.978574259391146,1.05449777950206,1.19639943397206,1.19639943397206,1.15049740293469,1.16088792055789
BCL10,2.01973753443847,2.14033224496498,1.53235120632828,1.65031572303962,2.01547998695623,1.70369044711915
BCL10-AS1,1.65538441228901,2.28338156324282,4.21636994867275,0.82151923565843,Inf,4.96255174192264
BCL11A,1.54087640737757,1.71131544188075,1.4573212894787,1.86268023838613,1.68074971009954,1.79349795913162
BCL11B,0.824953226494781,1.09336501758156,0.808456630039516,0.789047637912673,0.670121681411074,0.987527862213255
BCL2,1.15978097632989,1.40895799016961,0.859816025233768,1.04412721631064,0.947908382622073,1.04892441094213
BCL2A1,NA,NA,NA,NA,NA,NA
BCL2L1,2.29528379391302,2.55958319887279,2.08388514514183,2.19850790873836,2.735202057829,2.27646417815478
BCL2L1-AS1,NA,NA,NA,NA,NA,NA
BCL2L10,2.0600955998957,0.358101871617314,1.6442489725586,2.77144555392427,2.66881187341508,2.39761332615808
BCL2L11,1.37966844557865,1.6999772904357,1.16008701850482,1.24585811262455,1.25652752468337,1.00343477961574
BCL2L12,1.10341839283855,3.3017153860199,1.63264846041693,1.10934063686763,0.429044807590881,2.38967970103403
BCL2L12P1,NA,Inf,NA,NA,NA,NA
BCL2L13,1.39240562127971,1.4188656132441,1.34056757412649,1.57208425360099,1.62711902268209,1.66564471127966
BCL2L14,NA,NA,4.81415963261491,0.698697305249745,NA,NA
BCL2L15,3.01017594524656,NA,NA,NA,NA,NA
BCL2L2,1.06958182272627,1.12655887853127,0.779945457197593,0.869589191799166,0.806550558012356,1.12782346789104
BCL2L2-PABPN1,0.548664683912465,0.777818185758209,0.871018586560199,1.51138335369814,3.61673936582879,1.17237740787492
BCL3,2.55452074993726,2.18713044937917,2.49472517424725,1.79807073238257,1.55881691812959,2.35995282641704
BCL6,0.419123914189068,0.434257061546684,0.592636950125967,0.46248285835278,NA,NA
BCL6B,1.98609486495092,0.585327897449029,1.28668920692295,0.72072363530258,1.37018803646117,0.421755641837129
BCL7A,1.75997833065431,1.49604297185606,1.58708142566104,1.67910693570872,1.59779992941198,1.55133318692752
BCL7B,2.66088606784506,2.6587339630085,2.56415609885629,3.10983888099704,2.35270211758223,2.30953394453981
BCL7C,2.10661014187144,2.10915073742381,2.05322469293765,1.786648417978,1.80363474156993,1.96736113282542
BCL9,0.880143048029827,0.96210089630247,0.859133244996558,0.878360604467929,1.06594715608024,0.874502618464154
BCL9L,0.952833453325362,0.947076080223224,1.15451546387648,1.32641757911763,1.11410542874118,0.868598808966838
BCL9P1,NA,NA,NA,NA,NA,NA
