"","gene_id","log2_RE_FC","Z_score","gene_name","gene_biotype"
"4238","DPYSL3",-0.271793863692882,-8.4110585859745,NA,NA
"4239","MB21D2",-0.319463124399242,-8.41333972303061,NA,NA
"4240","SCAPER",-0.215876883274694,-8.41521989073486,NA,NA
"4241","TUBB2B",-0.388347210140886,-8.41543333905928,NA,NA
"4242","FAF2",0.243193739565271,-8.41576492610155,NA,NA
"4243","GRK3",-0.333665721858898,-8.41577889444078,NA,NA
"4244","OSBPL8",-0.30001142175596,-8.42132549613984,NA,NA
"4245","GAP43",-0.494277209174881,-8.43514778754763,NA,NA
"4246","HSP90AA1",-0.243266142264705,-8.43836588263659,NA,NA
"4247","TCEAL2",-0.467707037696986,-8.441738914198,NA,NA
"4248","KLHL25",0.30500452539487,-8.44472831503626,NA,NA
"4249","PIM3",0.353403132618512,-8.44852332183554,NA,NA
"4250","ENSG00000213062",-0.450848176792794,-8.44868934589667,NA,"lncRNA"
"4251","PTPN18",-0.284709621381803,-8.45238298944815,NA,NA
"4252","TBC1D23",-0.307793973711963,-8.45470651403437,NA,NA
"4253","SEMA4C",0.451941566833971,-8.45611910223425,NA,NA
"4254","TAF2",-0.200337583230398,-8.45741490004637,NA,NA
"4255","ENSG00000285184",-0.221419608100145,-8.45769782734726,NA,"lncRNA"
"4256","CCDC186",-0.314157433662263,-8.46035761178158,NA,NA
"4257","CBARP",0.447800539608228,-8.46065578865384,NA,NA
"4258","SERAC1",-0.255856121448586,-8.4638697650169,NA,NA
"4259","ZNF385B",-0.322095156216132,-8.46393920675536,NA,NA
"4260","TBP",-0.288363446467315,-8.46508676125356,NA,NA
"4261","ZKSCAN1",-0.201826423492717,-8.46546275808792,NA,NA
"4262","IRS1",-0.239194649904922,-8.46631139222255,NA,NA
"4263","GNAO1",-0.647598849812941,-8.46984353655504,NA,NA
"4264","KIF5A",-0.363820437581358,-8.46996315780158,NA,NA
"4265","STAT4",-0.730982857084995,-8.47068035307426,NA,NA
"4266","MECR",0.344363660547251,-8.47160722973777,NA,NA
"4267","FHDC1",-0.286510263948524,-8.47210335837218,NA,NA
"4268","KANSL2",0.215220106000319,-8.48185286880679,NA,NA
"4269","CREB5",0.257379540525437,-8.48619911200016,NA,NA
"4270","WSCD1",0.34078943352974,-8.48887454330689,NA,NA
"4271","NAPG",-0.332138723374513,-8.49146368264523,NA,NA
"4272","DNAJC12",-0.439340438269674,-8.49770324814182,NA,NA
"4273","ZNF799",-0.201103479381725,-8.50386701107671,NA,NA
"4274","ADAR",-0.211791000678003,-8.50715098359304,NA,NA
"4275","ELAPOR2",-0.272294703436854,-8.5094396891121,NA,NA
"4276","DNAH10OS",-0.258813135666639,-8.51914796259076,NA,NA
"4277","ZNF624",-0.378434754302067,-8.52358205756483,NA,NA
"4278","CCDC86",0.339249664352563,-8.55084566871612,NA,NA
"4279","TUG1",-0.211968204846373,-8.5545620620368,NA,NA
"4280","PABIR1",-0.471381402219159,-8.55783757587147,NA,NA
"4281","KHDRBS2",-0.416097707376186,-8.55861344761305,NA,NA
"4282","EFNB2",0.27973739449381,-8.55933333280911,NA,NA
"4283","G3BP2",-0.275571137041467,-8.58026706349181,NA,NA
"4284","DSTN",-0.425123583329547,-8.58559913940076,NA,NA
"4285","HEBP1",0.220042144161945,-8.59066891515624,NA,NA
"4286","ENSG00000276533",-0.407668381532379,-8.59423418650839,NA,"lncRNA"
"4287","C10orf88",-0.346379139607978,-8.59609197437529,NA,NA
"4288","P3H2",-0.522664722066847,-8.59703583698813,NA,NA
"4289","PTGFR",-0.273517187754586,-8.59833878034078,NA,NA
"4290","USP49",-0.212357444557132,-8.59878392491052,NA,NA
"4291","LMO1",-0.327968904939125,-8.61058840258481,NA,NA
"4292","CCDC112",-0.386773336751722,-8.61246750285422,NA,NA
"4293","GPR137",0.201269297476089,-8.6169735552115,NA,NA
"4294","RMND1",-0.36077777650247,-8.61939672239523,NA,NA
"4295","GGA2",-0.251354934946901,-8.61944719778539,NA,NA
"4296","ENSG00000273145",-0.425561588045155,-8.61977652128166,NA,"lncRNA"
"4297","RNGTT",-0.251957763291534,-8.62248890170772,NA,NA
